Rollno,Name,Year,CGPA,Attendance,Projects,Activities
14,Student_14,1,7.43,69,0,1
14,Student_14,2,7.56,70,1,2
14,Student_14,3,8.16,73,2,1
14,Student_14,4,8.38,72,2,1
15,Student_15,1,7.34,72,1,2
15,Student_15,2,7.55,65,1,3
15,Student_15,3,7.91,67,1,5
15,Student_15,4,7.99,64,4,2
16,Student_16,1,5.56,75,3,2
16,Student_16,2,5.89,75,2,3
16,Student_16,3,6.18,72,3,2
16,Student_16,4,6.18,74,6,2
17,Student_17,1,7.45,74,2,2
17,Student_17,2,7.68,76,1,2
17,Student_17,3,8.05,81,1,3
17,Student_17,4,7.92,80,3,2
18,Student_18,1,5.88,69,0,3
18,Student_18,2,6.04,66,2,2
18,Student_18,3,6.21,68,2,2
18,Student_18,4,6.29,73,0,2
19,Student_19,1,6.04,69,1,0
19,Student_19,2,6.35,72,1,0
19,Student_19,3,6.77,67,3,3
19,Student_19,4,6.47,66,1,2
20,Student_20,1,6.81,75,1,2
20,Student_20,2,7.11,82,2,3
20,Student_20,3,7.2,79,4,2
20,Student_20,4,7.6,81,5,2
21,Student_21,1,6.11,55,0,1
21,Student_21,2,6.4,55,2,2
21,Student_21,3,6.6,55,2,3
21,Student_21,4,6.64,60,4,2
22,Student_22,1,6.82,56,0,0
22,Student_22,2,7.13,63,0,1
22,Student_22,3,7.55,62,2,3
22,Student_22,4,7.17,61,1,1
23,Student_23,1,7.26,72,0,1
23,Student_23,2,7.58,78,1,0
23,Student_23,3,7.75,78,1,0
23,Student_23,4,8.08,72,1,3
24,Student_24,1,6.77,73,1,2
24,Student_24,2,7.13,72,0,2
24,Student_24,3,7.3,80,3,2
24,Student_24,4,7.85,78,0,2
25,Student_25,1,6.65,81,2,1
25,Student_25,2,6.83,83,2,1
25,Student_25,3,7.15,85,3,3
25,Student_25,4,7.13,82,5,1
26,Student_26,1,7.09,70,2,1
26,Student_26,2,7.23,74,3,2
26,Student_26,3,7.64,69,2,0
26,Student_26,4,7.55,71,4,0
27,Student_27,1,6.74,82,1,2
27,Student_27,2,7.1,74,3,2
27,Student_27,3,7.53,82,2,2
27,Student_27,4,7.07,74,2,5
28,Student_28,1,6.7,71,0,2
28,Student_28,2,6.96,67,0,4
28,Student_28,3,7.13,74,2,3
28,Student_28,4,7.22,69,1,4
29,Student_29,1,6.08,61,0,0
29,Student_29,2,6.36,66,0,2
29,Student_29,3,6.66,58,1,2
29,Student_29,4,6.5,58,3,2
30,Student_30,1,5.57,76,1,2
30,Student_30,2,5.71,81,2,2
30,Student_30,3,5.95,77,3,4
30,Student_30,4,6.26,72,2,2
31,Student_31,1,7.45,67,2,2
31,Student_31,2,7.8,72,2,2
31,Student_31,3,7.68,72,3,4
31,Student_31,4,8.3,75,4,4
32,Student_32,1,6.59,66,1,0
32,Student_32,2,6.9,62,1,0
32,Student_32,3,7.02,58,4,0
32,Student_32,4,7.29,64,1,2
33,Student_33,1,7.1,67,1,1
33,Student_33,2,7.43,60,2,2
33,Student_33,3,7.36,67,1,1
33,Student_33,4,7.86,59,3,2
34,Student_34,1,5.58,85,3,0
34,Student_34,2,5.91,89,3,2
34,Student_34,3,5.92,88,3,1
34,Student_34,4,6.52,80,4,0
35,Student_35,1,6.01,82,0,1
35,Student_35,2,6.12,77,0,2
35,Student_35,3,6.42,79,3,1
35,Student_35,4,7.07,79,1,2
36,Student_36,1,6.12,64,2,3
36,Student_36,2,6.29,62,3,2
36,Student_36,3,6.36,64,3,2
36,Student_36,4,7.23,60,1,3
37,Student_37,1,5.79,75,3,0
37,Student_37,2,6.03,77,4,0
37,Student_37,3,6.34,70,5,2
37,Student_37,4,6.89,69,2,1
38,Student_38,1,7.47,62,1,3
38,Student_38,2,7.57,58,2,2
38,Student_38,3,7.77,59,1,4
38,Student_38,4,7.93,67,1,4
39,Student_39,1,7.18,68,2,1
39,Student_39,2,7.38,70,3,1
39,Student_39,3,7.87,69,2,3
39,Student_39,4,7.73,71,5,0
40,Student_40,1,7.09,79,1,1
40,Student_40,2,7.22,74,0,2
40,Student_40,3,7.42,73,3,0
40,Student_40,4,8.04,73,4,1
41,Student_41,1,6.72,76,1,1
41,Student_41,2,7.1,77,2,1
41,Student_41,3,7.46,75,2,1
41,Student_41,4,7.27,78,3,2
42,Student_42,1,6.35,63,1,1
42,Student_42,2,6.51,71,0,0
42,Student_42,3,7.05,63,3,0
42,Student_42,4,6.97,66,2,1
43,Student_43,1,6.25,67,2,3
43,Student_43,2,6.61,64,3,4
43,Student_43,3,6.48,61,4,3
43,Student_43,4,7.28,66,2,3
44,Student_44,1,5.89,72,2,2
44,Student_44,2,6.16,71,3,3
44,Student_44,3,6.35,75,4,4
44,Student_44,4,6.67,75,5,2
45,Student_45,1,7.17,76,3,3
45,Student_45,2,7.54,75,4,2
45,Student_45,3,7.91,70,5,4
45,Student_45,4,7.97,75,5,5
46,Student_46,1,5.95,75,2,1
46,Student_46,2,6.11,81,2,1
46,Student_46,3,6.3,74,5,3
46,Student_46,4,6.91,79,5,3
47,Student_47,1,6.06,73,2,2
47,Student_47,2,6.32,65,3,3
47,Student_47,3,6.4,71,4,4
47,Student_47,4,7.06,65,3,2
48,Student_48,1,6.53,81,1,3
48,Student_48,2,6.9,80,2,2
48,Student_48,3,6.87,80,2,3
48,Student_48,4,7.33,78,2,6
49,Student_49,1,5.91,84,1,1
49,Student_49,2,6.06,80,2,0
49,Student_49,3,6.11,83,3,2
49,Student_49,4,6.79,85,2,2
50,Student_50,1,7.07,64,0,2
50,Student_50,2,7.22,56,0,2
50,Student_50,3,7.35,59,0,2
50,Student_50,4,7.83,61,4,4
51,Student_51,1,6.12,66,2,1
51,Student_51,2,6.37,71,3,1
51,Student_51,3,6.74,66,5,3
51,Student_51,4,6.99,70,3,4
52,Student_52,1,7.48,80,0,2
52,Student_52,2,7.67,76,1,3
52,Student_52,3,8.08,78,2,5
52,Student_52,4,8.35,77,4,4
53,Student_53,1,5.89,58,2,2
53,Student_53,2,6.28,65,2,2
53,Student_53,3,6.14,59,1,2
53,Student_53,4,6.7,65,5,4
54,Student_54,1,6.54,66,2,1
54,Student_54,2,6.75,68,2,0
54,Student_54,3,6.98,66,3,2
54,Student_54,4,6.97,68,1,1
55,Student_55,1,5.9,84,3,0
55,Student_55,2,6.04,85,2,1
55,Student_55,3,6.36,80,3,2
55,Student_55,4,6.69,82,5,1
56,Student_56,1,5.54,76,1,3
56,Student_56,2,5.72,75,2,3
56,Student_56,3,6.1,75,1,2
56,Student_56,4,6.51,78,4,2
57,Student_57,1,6.44,80,1,2
57,Student_57,2,6.55,80,0,4
57,Student_57,3,7.03,81,0,5
57,Student_57,4,6.85,75,3,3
58,Student_58,1,7.27,84,2,2
58,Student_58,2,7.59,80,2,2
58,Student_58,3,7.51,80,3,2
58,Student_58,4,8.37,81,5,4
59,Student_59,1,5.89,67,2,0
59,Student_59,2,6.08,62,2,1
59,Student_59,3,6.15,68,3,3
59,Student_59,4,6.48,63,3,2
60,Student_60,1,5.61,66,1,2
60,Student_60,2,5.98,65,3,2
60,Student_60,3,6.32,70,3,4
60,Student_60,4,6.68,73,3,3
61,Student_61,1,7.31,83,1,3
61,Student_61,2,7.53,82,1,3
61,Student_61,3,7.69,84,4,4
61,Student_61,4,8.29,81,5,6
62,Student_62,1,7.3,59,0,2
62,Student_62,2,7.54,62,2,3
62,Student_62,3,7.94,67,1,4
62,Student_62,4,8.42,64,1,3
63,Student_63,1,5.67,75,2,1
63,Student_63,2,5.8,74,2,1
63,Student_63,3,5.93,81,3,2
63,Student_63,4,6.81,80,2,0
64,Student_64,1,6.36,62,1,2
64,Student_64,2,6.56,70,2,3
64,Student_64,3,7.01,69,2,5
64,Student_64,4,6.8,66,4,6
65,Student_65,1,5.58,84,2,2
65,Student_65,2,5.78,81,4,2
65,Student_65,3,5.9,84,4,2
65,Student_65,4,6.55,83,4,1
66,Student_66,1,5.87,84,1,2
66,Student_66,2,6.03,83,1,3
66,Student_66,3,6.64,84,1,1
66,Student_66,4,6.23,78,4,3
67,Student_67,1,7.06,84,2,1
67,Student_67,2,7.22,78,2,3
67,Student_67,3,7.53,83,5,1
67,Student_67,4,8.03,80,6,5
68,Student_68,1,7.46,59,1,2
68,Student_68,2,7.79,60,2,2
68,Student_68,3,7.79,56,1,2
68,Student_68,4,7.96,63,1,6
69,Student_69,1,7.2,62,3,2
69,Student_69,2,7.52,72,2,2
69,Student_69,3,7.78,65,4,3
69,Student_69,4,7.84,68,5,6
70,Student_70,1,7.06,64,1,0
70,Student_70,2,7.37,70,2,0
70,Student_70,3,7.64,66,2,1
70,Student_70,4,7.41,62,2,1
71,Student_71,1,5.94,67,1,1
71,Student_71,2,6.27,59,3,0
71,Student_71,3,6.55,59,2,2
71,Student_71,4,6.36,61,2,1
72,Student_72,1,6.91,74,1,0
72,Student_72,2,7.21,72,2,0
72,Student_72,3,7.17,76,2,2
72,Student_72,4,7.78,72,5,2
73,Student_73,1,6.4,83,2,0
73,Student_73,2,6.54,78,4,2
73,Student_73,3,6.73,80,5,2
73,Student_73,4,6.94,87,5,0
74,Student_74,1,7.34,80,1,1
74,Student_74,2,7.45,79,2,2
74,Student_74,3,7.86,80,2,2
74,Student_74,4,8.01,82,3,3
75,Student_75,1,7.25,86,1,2
75,Student_75,2,7.4,84,1,2
75,Student_75,3,7.55,78,3,2
75,Student_75,4,7.64,82,3,3
76,Student_76,1,6.17,85,1,0
76,Student_76,2,6.35,80,1,0
76,Student_76,3,6.55,89,3,3
76,Student_76,4,6.71,82,0,2
77,Student_77,1,6.84,74,3,0
77,Student_77,2,7.23,80,2,2
77,Student_77,3,7.3,80,3,0
77,Student_77,4,7.94,78,6,0
78,Student_78,1,6.07,76,1,3
78,Student_78,2,6.19,77,0,3
78,Student_78,3,6.8,80,1,2
78,Student_78,4,6.84,72,2,3
79,Student_79,1,6.36,78,0,3
79,Student_79,2,6.67,79,2,2
79,Student_79,3,6.87,81,3,5
79,Student_79,4,7.3,74,1,4
80,Student_80,1,6.29,80,1,2
80,Student_80,2,6.6,73,2,3
80,Student_80,3,6.84,72,3,4
80,Student_80,4,7.4,74,2,2
81,Student_81,1,5.72,66,1,0
81,Student_81,2,6.11,59,1,0
81,Student_81,3,5.95,60,3,3
81,Student_81,4,6.85,58,3,3
82,Student_82,1,6.04,68,2,2
82,Student_82,2,6.43,70,4,3
82,Student_82,3,6.51,70,5,3
82,Student_82,4,7.13,68,2,3
83,Student_83,1,7.04,65,0,1
83,Student_83,2,7.31,63,0,1
83,Student_83,3,7.63,70,3,4
83,Student_83,4,7.52,64,0,2
84,Student_84,1,5.62,82,2,1
84,Student_84,2,5.83,73,2,2
84,Student_84,3,6.33,81,3,2
84,Student_84,4,6.77,82,3,1
85,Student_85,1,6.19,64,3,0
85,Student_85,2,6.43,65,2,2
85,Student_85,3,6.74,63,2,2
85,Student_85,4,6.66,65,4,4
86,Student_86,1,7.29,90,0,1
86,Student_86,2,7.59,85,0,1
86,Student_86,3,7.84,86,0,2
86,Student_86,4,7.91,90,4,3
87,Student_87,1,6.19,80,2,2
87,Student_87,2,6.42,79,3,1
87,Student_87,3,6.81,76,3,1
87,Student_87,4,7.07,85,5,4
88,Student_88,1,7.05,66,1,0
88,Student_88,2,7.25,70,1,1
88,Student_88,3,7.33,66,1,0
88,Student_88,4,7.42,71,5,2
89,Student_89,1,6.17,79,2,3
89,Student_89,2,6.43,81,2,4
89,Student_89,3,6.48,78,5,2
89,Student_89,4,6.91,75,3,3
90,Student_90,1,6.2,69,3,3
90,Student_90,2,6.54,62,3,3
90,Student_90,3,6.51,65,3,5
90,Student_90,4,7.0,64,5,3
91,Student_91,1,6.59,61,1,2
91,Student_91,2,6.93,65,0,2
91,Student_91,3,7.3,60,3,2
91,Student_91,4,7.09,59,0,2
92,Student_92,1,6.52,80,1,1
92,Student_92,2,6.84,81,1,2
92,Student_92,3,7.15,82,4,1
92,Student_92,4,7.43,84,4,2
93,Student_93,1,7.42,76,3,2
93,Student_93,2,7.59,73,3,4
93,Student_93,3,7.69,66,5,3
93,Student_93,4,8.4,75,4,4
94,Student_94,1,5.78,87,1,2
94,Student_94,2,6.18,81,0,3
94,Student_94,3,6.27,84,1,4
94,Student_94,4,6.16,88,0,5
95,Student_95,1,5.64,55,1,2
95,Student_95,2,6.0,60,2,4
95,Student_95,3,6.42,62,3,4
95,Student_95,4,5.97,59,1,6
96,Student_96,1,5.7,65,0,2
96,Student_96,2,6.1,72,2,4
96,Student_96,3,6.2,68,3,4
96,Student_96,4,6.02,71,0,2
97,Student_97,1,7.13,75,2,3
97,Student_97,2,7.31,75,2,4
97,Student_97,3,7.82,78,4,4
97,Student_97,4,8.21,75,3,4
98,Student_98,1,6.83,74,1,1
98,Student_98,2,7.15,74,3,0
98,Student_98,3,7.38,74,3,1
98,Student_98,4,7.57,70,5,3
99,Student_99,1,6.81,76,3,2
99,Student_99,2,7.12,75,4,4
99,Student_99,3,7.03,80,4,3
99,Student_99,4,7.92,73,6,2
100,Student_100,1,6.19,71,1,0
100,Student_100,2,6.54,67,2,1
100,Student_100,3,6.95,69,3,1
100,Student_100,4,6.5,69,3,3
